"Localidade";"Variável";"2017";"2018";"2019"
"Mimoso de Goiás";"Foco de queimada  (número)";"82";"44";"61"
"Minaçu";"Foco de queimada  (número)";"146";"12";"88"
"Mineiros";"Foco de queimada  (número)";"101";"95";"146"
"Moiporá";"Foco de queimada  (número)";"6";"2";"3"
"Monte Alegre de Goiás";"Foco de queimada  (número)";"36";"40";"79"
"Montes Claros de Goiás";"Foco de queimada  (número)";"54";"22";"44"
"Montividiu";"Foco de queimada  (número)";"6";"18";"2"
"Montividiu do Norte";"Foco de queimada  (número)";"7";"14";"18"
"Morrinhos";"Foco de queimada  (número)";"10";"15";"51"
"Morro Agudo de Goiás";"Foco de queimada  (número)";"5";"-";"2"
"Mossâmedes";"Foco de queimada  (número)";"17";"2";"4"
"Mozarlândia";"Foco de queimada  (número)";"9";"2";"8"
"Mundo Novo";"Foco de queimada  (número)";"5";"6";"8"
"Mutunópolis";"Foco de queimada  (número)";"27";"7";"18"
"Nazário";"Foco de queimada  (número)";"1";"-";"2"
"Nerópolis";"Foco de queimada  (número)";"2";"1";"1"
"Niquelândia";"Foco de queimada  (número)";"537";"106";"338"
"Nova América";"Foco de queimada  (número)";"-";"1";"3"
"Nova Aurora";"Foco de queimada  (número)";"-";"-";"1"
"Nova Crixás";"Foco de queimada  (número)";"57";"31";"42"
"Nova Glória";"Foco de queimada  (número)";"5";"2";"11"
"Nova Iguaçu de Goiás";"Foco de queimada  (número)";"17";"2";"2"
"Nova Roma";"Foco de queimada  (número)";"29";"22";"64"
"Nova Veneza";"Foco de queimada  (número)";"2";"1";"-"
"Novo Brasil";"Foco de queimada  (número)";"6";"5";"2"
"Novo Gama";"Foco de queimada  (número)";"5";"4";"5"
"Novo Planalto";"Foco de queimada  (número)";"24";"10";"10"
"Orizona";"Foco de queimada  (número)";"17";"3";"28"
"Ouro Verde de Goiás";"Foco de queimada  (número)";"-";"-";"-"
"Ouvidor";"Foco de queimada  (número)";"5";"2";"7"
"Padre Bernardo";"Foco de queimada  (número)";"73";"51";"112"
"Palestina de Goiás";"Foco de queimada  (número)";"7";"5";"10"
"Palmeiras de Goiás";"Foco de queimada  (número)";"13";"4";"16"
"Palmelo";"Foco de queimada  (número)";"-";"2";"4"
"Palminópolis";"Foco de queimada  (número)";"1";"1";"7"
"Panamá";"Foco de queimada  (número)";"6";"7";"2"
